,open,high,low,close,volume,Name
41313,15.07,15.12,14.63,14.75,8407500,AAL
41316,14.89,15.01,14.26,14.46,8882000,AAL
41317,14.45,14.51,14.1,14.27,8126000,AAL
41318,14.3,14.94,14.25,14.66,10259500,AAL
41319,14.94,14.96,13.16,13.99,31879900,AAL
41320,13.93,14.61,13.93,14.5,15628000,AAL
41324,14.33,14.56,14.08,14.26,11354400,AAL
41325,14.17,14.26,13.15,13.33,14725200,AAL
41326,13.62,13.95,12.9,13.37,11922100,AAL
41327,13.57,13.6,13.21,13.57,6071400,AAL
41330,13.6,13.76,13,13.02,7186400,AAL
41331,13.14,13.42,12.7,13.26,9419000,AAL
41332,13.28,13.62,13.18,13.41,7390500,AAL
41333,13.49,13.63,13.39,13.43,6143600,AAL
